Categoria,Valor
Vencimentos e Vantagens Fixas – Pessoal Civil,24541295.010000017
Outros Serviços de Terceiros - Pessoa Jurídica,19866948.42
Obrigações Patronais,6992521.260000002
Material de Consumo,4572219.81
Contratação por Tempo Determinado,3482158.9200000023
Obras e Instalações,3179982.9600000004
Locação de Mão-de-Obra,2280173.020000001
Obrigações Tributárias e Contributivas,1425365.0799999994
Serviços de Consultoria,1281128.0
Aquisição de Imóveis,1111780.08
Principal da Dívida Contratual Resgatado,1032175.1199999998
Indenizações e Restituições,1011786.4600000003
"Material, Bem ou Serviço para Distribuição Gratuita",818246.66
Equipamentos e Material Permanente,715432.0000000001
Subvenções Sociais,548607.1999999997
Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica,508976.5500000002
Sentenças Judiciais,311670.81
Outros Serviços de Terceiros – Pessoa Física,277060.3900000001
"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras",87314.84999999998
Diárias – Civil,30370.0
Outros Auxílios Financeiros a Pessoas Físicas,10200.0
Despesas de Exercícios Anteriores,5185.759999999999
Passagens e Despesas com Locomoção,3541.33
